Level,Date and Time,Source,Event ID,Task Category
Warning,7/4/2020 9:29:00 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 9:29:00 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 9:29:00 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 9:27:22 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2046‎-‎02‎-‎24T00:19:04.000000000Z) has successfully loaded and registered with Filter Manager."
Warning,7/4/2020 9:26:57 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 9:26:57 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 9:26:56 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
Information,7/4/2020 9:26:54 PM,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,7/4/2020 9:26:54 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2084‎-‎07‎-‎24T08:29:44.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) unloaded successfully."
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1974‎-‎08‎-‎09T16:33:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:52 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2011‎-‎08‎-‎26T01:27:29.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:51 PM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,7/4/2020 9:26:51 PM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,7/4/2020 9:26:50 PM,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,7/4/2020 9:26:49 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 9:26:49 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 9:26:49 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
